Name,TRB,AST,STL,BLK,PTS
Trae Young,4.3,9.3,1.1,0.1,29.6
John Collins,10.1,1.5,0.8,1.6,21.6
De'Andre Hunter,4.5,1.8,0.7,0.3,12.3
Kevin Huerter,4.1,3.8,0.9,0.5,12.2
Cam Reddish,3.7,1.5,1.1,0.5,10.5
Jabari Parker,6.0,1.8,1.3,0.5,15.0
Dewayne Dedmon,8.2,0.7,1.0,1.5,8.1
DeAndre' Bembry,3.5,1.9,1.3,0.4,5.8
Jeff Teague,2.2,4.0,0.8,0.2,7.7
Allen Crabbe,2.3,1.0,0.5,0.1,5.1
Alex Len,5.8,1.1,0.5,0.8,8.7
Damian Jones,3.7,0.6,0.5,0.7,5.6
Vince Carter,2.1,0.8,0.4,0.4,5.0
Evan Turner,2.0,2.0,0.5,0.4,3.3
Bruno Fernando,3.5,0.9,0.3,0.3,4.3
Brandon Goodwin,2.1,1.5,0.4,0.1,6.1
Treveon Graham,2.3,0.7,0.3,0.2,3.3
Tyrone Wallace,1.6,0.9,0.5,0.1,2.9
Chandler Parsons,1.4,0.6,0.8,0.2,2.8
Paul Watson,1.0,1.5,0.5,0.0,0.0
Charlie Brown,0.4,0.2,0.2,0.2,2.0