Rk,Name,TRB,AST,STL,BLK,PTS
1,Kyle Lowry,5.0,7.5,1.4,0.4,19.4
2,Fred VanVleet,3.8,6.6,1.9,0.3,17.6
3,Pascal Siakam,7.3,3.5,1.0,0.9,22.9
4,OG Anunoby,5.3,1.6,1.4,0.7,10.6
5,Norman Powell,3.7,1.8,1.2,0.4,16.0
6,Serge Ibaka,8.2,1.4,0.5,0.8,15.4
7,Marc Gasol,6.3,3.3,0.8,0.9,7.5
8,Patrick McCaw,2.3,2.1,1.1,0.1,4.6
9,Rondae Hollis-Jefferson,4.7,1.8,0.8,0.4,7.0
10,Terence Davis,3.3,1.6,0.5,0.2,7.5
11,Chris Boucher,4.5,0.4,0.4,1.0,6.6
12,Matt Thomas,1.5,0.5,0.2,0.0,4.9
13,Paul Watson,1.9,0.6,0.4,0.1,3.9
14,Oshae Brissett,1.4,0.4,0.2,0.1,1.9
15,Stanley Johnson,1.5,0.8,0.2,0.2,2.4
16,Malcolm Miller,0.6,0.4,0.2,0.1,1.3
17,Dewan Hernandez,2.3,0.5,0.2,0.0,2.3
18,Shamorie Ponds,0.3,0.5,0.0,0.3,2.3